ds,yhat,yhat_lower,yhat_upper
2024-01-12,6597.472639064611,6328.170628590853,6873.118312780666
2024-01-13,6618.553766052595,6373.131033553111,6885.071107425603
2024-01-14,6627.10816445481,6367.754145756603,6897.441282327968
2024-01-15,6660.885537614311,6391.989548982827,6896.295264907084
2024-01-16,6628.943176041328,6351.3162962905735,6879.65682571848
2024-01-17,6604.539895801391,6348.004397868011,6860.224332370875
2024-01-18,6669.0766710285725,6414.1764440067,6927.5855006627235
2024-01-19,6628.468502805595,6361.890993051675,6881.6315213839
2024-01-20,6658.265939152318,6389.820581502975,6927.953143387222
2024-01-21,6670.139274700427,6412.897240551156,6945.597485533063
2024-01-22,6706.194488747252,6444.581664738638,6952.57212792883
2024-01-23,6678.022357530001,6401.53726474035,6932.343054788882
2024-01-24,6656.691127670254,6392.83980370654,6928.891011922973
2024-01-25,6718.48078546013,6447.430772322024,6981.856492013513
2024-01-26,6684.059598677765,6429.202792852546,6943.836223239035
2024-01-27,6708.730625108827,6439.507956083325,6971.210139511718
2024-01-28,6723.307244498202,6448.3631812489775,6981.862266583301
2024-01-29,6758.31399071241,6496.557915286458,7025.005785788163
2024-01-30,6727.892181525192,6459.918751249103,7004.738274087632
2024-01-31,6696.998963248695,6442.033917654048,6965.325765781219
2024-02-01,6743.956864042865,6461.320693689888,7012.457688413199
2024-02-02,6699.997307199514,6442.869898059104,6963.701544636273
2024-02-03,6721.816292378221,6460.223921621227,6984.125506004583
2024-02-04,6729.637671375219,6481.625539916973,7000.355948775314
2024-02-05,6757.589064223686,6496.640034871511,7026.191040538561
2024-02-06,6717.544991610516,6448.060663975846,6984.704111596377
2024-02-07,6688.6735775151565,6408.406972792061,6930.5975094740825
2024-02-08,6741.125682478124,6468.856914437596,7023.745363224597
2024-02-09,6691.470933997737,6428.949841418367,6954.837902315407
2024-02-10,6707.957421443901,6441.151603250639,6972.085595486416
2024-02-11,6705.1044073314,6465.805074911796,6958.255059029708
2024-02-12,6727.505242540208,6465.762324553919,6984.911078524284
2024-02-13,6687.783284060022,6429.037373579113,6939.761643652958
2024-02-14,6645.653750175845,6383.897831425258,6902.311315798832
2024-02-15,6698.406491202868,6440.009353711398,6957.084748767679
2024-02-16,6647.378646229339,6383.2010995390065,6903.34769284004
2024-02-17,6659.21853699424,6397.706366885517,6906.7685276750535
2024-02-18,6660.551511845556,6406.288803909317,6925.396525705936
2024-02-19,6683.724441176893,6433.127636056823,6974.624618629492
2024-02-20,6644.5728770932765,6389.425214431029,6919.566517026979
2024-02-21,6603.458593488199,6340.379702858552,6859.022317921316
2024-02-22,6660.680380179736,6384.438557631723,6921.318811697853
2024-02-23,6614.795045707466,6363.132232095738,6880.443309109715
2024-02-24,6632.134667964107,6370.630934611332,6901.287746316984
2024-02-25,6641.997803255166,6395.120433953047,6909.2710007087035
2024-02-26,6668.132835966426,6407.519465936937,6932.924576153019
2024-02-27,6630.291781806626,6359.322777572801,6899.095020301789
2024-02-28,6600.93520514623,6352.766322714806,6886.064395876094
2024-02-29,6657.9355447734515,6395.607408541872,6931.592311933164
2024-03-01,6563.6589225127045,6305.073856837158,6813.097563728844
2024-03-02,6584.316522187941,6297.610873398144,6842.607719459288
2024-03-03,6595.392540940323,6325.064847816298,6848.602359569802
2024-03-04,6631.932311753531,6360.207017370771,6915.443867297788
2024-03-05,6594.024513821895,6320.742872725087,6847.463497417043
2024-03-06,6565.496031234167,6302.958581109357,6829.834036267424
2024-03-07,6619.0742440142185,6356.521535594927,6895.295674839462
2024-03-08,6581.170686328729,6318.012948019796,6842.165622785326
2024-03-09,6602.5045349864395,6366.380438018956,6865.312484602763
2024-03-10,6604.646925607424,6344.663696637438,6880.190432813555
2024-03-11,6630.5191616825305,6369.0250532122245,6875.436156943985
2024-03-12,6594.611734668185,6330.872618352743,6840.67650895714
2024-03-13,6564.569111666786,6292.740768967141,6823.615766274843
2024-03-14,6617.025590945186,6351.576643246778,6865.399949790951
2024-03-15,6568.264721202403,6310.331684625589,6829.604030399597
2024-03-16,6581.8187721060585,6317.272172082061,6841.0283047950015
2024-03-17,6583.586420898806,6333.185726430416,6859.707638509793
2024-03-18,6609.374892791703,6364.52642692659,6901.876262603732
2024-03-19,6561.710003202285,6292.844263568925,6834.976671516392
